artistName,musicName,Radiojavan_play,Radiojavan_likes,pubdate,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Ehaam,Cheshmanat Arezoost,25928961,34599,Jul 21 2018,37,0.731,0.767,-6.213,0.204,0.0474,0.00129,0.179,0.443,108.018,251820
Hoorosh Band,Leili Bi Eshgh,25877672,29305,Jan 19 2018,28,0.673,0.737,-7.536,0.0451,0.136,0,0.146,0.291,112.013,218241
Behnam Bani,Hanooz Dooset Daram,25680581,31069,Aug 19 2018,27,0.722,0.792,-3.666,0.0914,0.67,0,0.189,0.73,109.995,198609
Behnam Bani,Hame Donyam,25650717,29091,May 12 2017,22,0.75,0.788,-3.972,0.0491,0.72,0,0.429,0.958,103.012,214988
Eddie Attar,Delo Bede,25484799,24191,Aug 30 2018,33,0.823,0.835,-4.372,0.222,0.14,0,0.157,0.939,114.997,180768
Farzad Farokh,Havaye To (Dynatonic Remix),25447505,41092,Sep 14 2017,12,0.841,0.61,-8.039,0.261,0.527,0.000458,0.101,0.943,105.006,205767
poobon,Tigh,25381843,28419,Nov 29 2019,43,0.619,0.589,-8.368,0.112,0.25,2.26E-05,0.114,0.1,159.936,168648
Sasy,Noosh,25269816,28438,Mar 8 2017,29,0.757,0.882,-4.014,0.175,0.00932,0,0.394,0.581,125.978,190329
Shadmehr Aghili,Aghl O Eshgh,25080653,20855,Dec 9 2016,29,0.719,0.866,-3.984,0.0589,0.229,0,0.0611,0.56,130.016,218802
Shadmehr Aghili,Eteraf,25064369,24945,Feb 20 2018,26,0.515,0.624,-4.35,0.0338,0.808,0,0.0947,0.455,135.942,204173
Sirvan Khosravi,Tanha Nazar,25054158,31468,Jul 5 2019,44,0.705,0.72,-6.875,0.0349,0.0237,0.00012,0.671,0.69,110.989,235128
Sasy,Hame Bada,25053185,30868,Dec 13 2017,34,0.69,0.874,-4.359,0.393,0.0979,0,0.76,0.309,123.969,186907
Behnam Bani,Chi Begam,25013928,27271,Feb 3 2017,22,0.849,0.807,-4.268,0.125,0.326,0,0.269,0.961,119.958,215064
Masih,Golaro Ab Midam,24901869,25219,May 4 2015,21,0.731,0.839,-3.858,0.242,0.0275,0,0.18,0.636,127.992,224444
Amir Tataloo,Dari Be Chi Fekr Mikoni,24894029,27715,May 7 2016,31,0.784,0.691,-6.047,0.0403,0.195,0,0.124,0.655,127.473,207020
Tohi,Khodaya Mercy,24819104,38108,Jun 6 2017,34,0.599,0.806,-5.504,0.0964,0.204,0.00989,0.0948,0.546,191.93,221283
Tohi,Nazanin,24778403,25069,Aug 25 2019,38,0.718,0.908,-3.8,0.0568,0.181,2.60E-06,0.119,0.965,124.01,184355
Ali Zand Vakili,Lalaei,24736335,37742,Mar 10 2016,33,0.364,0.369,-8.641,0.0425,0.927,4.32E-06,0.146,0.431,169.738,250057
Ebi,Jane Javani,24655551,27338,Dec 21 2014,34,0.525,0.733,-4.214,0.111,0.833,3.72E-05,0.396,0.321,134.974,235733
Sina Shabankhani,Jadooye Khas,24643584,34893,Sep 18 2013,35,0.773,0.769,-4.875,0.074,0.372,0,0.144,0.513,128.01,232080
Hamed Homayoun,Divoonegi,24541710,24734,Jan 12 2017,24,0.899,0.706,-5.514,0.183,0.0438,6.14E-06,0.371,0.851,119.976,178416
Reza Bahram,Moo Be Moo,24479923,22200,Jan 26 2019,38,0.574,0.361,-6.042,0.0309,0.88,2.25E-06,0.108,0.276,140.039,240666
Amirabbas Golab,Banoo Jan,24466645,29692,Jun 23 2017,25,0.702,0.976,-4,0.0966,0.203,1.49E-05,0.103,0.787,120.014,176065
Behnam Bani,Sad Sal,24273248,29594,Apr 19 2018,32,0.66,0.878,-4.155,0.0671,0.783,0,0.384,0.858,150.062,188616
Behnam Bani,Vay Dele Bighararam,24214209,29834,Aug 31 2017,30,0.657,0.785,-3.791,0.115,0.662,0,0.858,0.942,149.952,146448
Sirvan Khosravi,Dorost Nemisham,24204161,29753,May 6 2019,39,0.709,0.569,-9.378,0.0524,0.0509,0.00396,0.0759,0.501,132.997,219376
Reza Bahram,Hich,24195882,22188,Aug 29 2019,33,0.547,0.384,-9.814,0.0489,0.619,0,0.261,0.368,153.722,217933
Macan Band,Delgiri,24028935,35943,Jul 17 2017,34,0.655,0.579,-10.545,0.053,0.752,3.22E-06,0.0699,0.696,155.984,177789
Mohsen Yeganeh,Bavar Konam,24026835,27871,Oct 21 2012,27,0.744,0.84,-5.097,0.0841,0.404,3.24E-06,0.0651,0.474,129.024,230896
Farzad Farzin,Mankan,23868123,23504,Aug 22 2019,41,0.407,0.681,-5.483,0.0572,0.238,0,0.0816,0.44,87.293,199368
Alireza Talischi,Ay Dele Khodam,23825744,27580,Sep 2 2017,22,0.713,0.846,-4.584,0.0527,0.662,0,0.167,0.689,139.254,175536
Zedbazi,Cigare Soorati,23738403,31009,Jun 2 2012,38,0.755,0.606,-8.894,0.0288,0.53,0.00296,0.11,0.674,119.964,360281
Jay Lei Sij,Too Moshtam,23451928,18852,Dec 13 2018,26,0.779,0.529,-9.508,0.147,0.123,0,0.083,0.278,97.974,249575
Alireza Jj,Ziadesh Khoobe - Arian Goleh Remix,23405933,29974,Dec 11 2017,38,0.766,0.844,-5.47,0.0615,0.0348,2.50E-06,0.0911,0.449,119.963,234057
TM Bax,Masalei Ni,23308889,27109,Mar 24 2018,48,0.792,0.528,-8.636,0.27,0.595,1.06E-05,0.222,0.88,125.072,255425
Hamid Hiraad,Rosvayi,23303124,24632,Aug 13 2017,25,0.619,0.683,-4.973,0.15,0.0496,0,0.383,0.443,150.004,183838
Donya,Tala,23299155,23958,Aug 7 2019,26,0.403,0.956,-4.198,0.464,0.136,0.000563,0.419,0.776,179.977,213030
poobon,Ghalbe Shishei,23218266,27971,Jan 28 2019,37,0.499,0.502,-10.789,0.0737,0.382,8.59E-06,0.155,0.213,76.014,175165
Amir Tataloo,Ba To,23199959,32151,Jun 26 2014,31,0.601,0.642,-5.505,0.0447,0.486,0,0.217,0.225,158.254,211931
Hojat Ashrafzadeh,Mah O Mahi,23195285,38085,Mar 3 2014,28,0.57,0.17,-15.899,0.032,0.942,2.95E-05,0.0894,0.254,97,287147
Mohsen Chavoshi,Be Rasme Yadegar,23144652,24259,Oct 3 2015,18,0.537,0.65,-7.141,0.0312,0.293,0,0.2,0.454,99.989,301897
